"date","state","usage"
"08-06-2014","WY",423
"08-06-2014","AS",NA
"08-06-2014","GU",NA
"08-06-2014","MP",NA
"08-06-2014","PR",NA
"08-06-2014","UM",NA
"08-06-2014","VI",NA
"09-06-2014","AL",6163
"09-06-2014","AK",7
"09-06-2014","AZ",8499
"09-06-2014","AR",2744
"09-06-2014","CA",72540
"09-06-2014","CO",6383
"09-06-2014","CT",5496
"09-06-2014","DE",1271
"09-06-2014","DC",5440
"09-06-2014","FL",37038
"09-06-2014","GA",17436
"09-06-2014","HI",NA
"09-06-2014","ID",1297
"09-06-2014","IL",18716
"09-06-2014","IN",7281
"09-06-2014","IA",3816
"09-06-2014","KS",3737
"09-06-2014","KY",5378
"09-06-2014","LA",6631
"09-06-2014","ME",1580
"09-06-2014","MD",10672
"09-06-2014","MA",11652
"09-06-2014","MI",12981
"09-06-2014","MN",6908
"09-06-2014","MS",3534
"09-06-2014","MO",7404
"09-06-2014","MT",759
"09-06-2014","NE",2461
"09-06-2014","NV",7283
"09-06-2014","NH",1550
"09-06-2014","NJ",15944
"09-06-2014","NM",1688
"09-06-2014","NY",42844
"09-06-2014","NC",13952
"09-06-2014","ND",913
"09-06-2014","OH",16221
"09-06-2014","OK",5728
"09-06-2014","OR",7775
"09-06-2014","PA",17341
"09-06-2014","RI",1931
"09-06-2014","SC",7771
"09-06-2014","SD",701
"09-06-2014","TN",8586
"09-06-2014","TX",41481
"09-06-2014","UT",2969
"09-06-2014","VT",707
"09-06-2014","VA",12367
"09-06-2014","WA",9428
"09-06-2014","WV",2612
"09-06-2014","WI",6315
"09-06-2014","WY",451
"09-06-2014","AS",NA
"09-06-2014","GU",NA
"09-06-2014","MP",NA
"09-06-2014","PR",NA
"09-06-2014","UM",NA
"09-06-2014","VI",NA
"10-06-2014","AL",6710
"10-06-2014","AK",3
"10-06-2014","AZ",8684
"10-06-2014","AR",2880
"10-06-2014","CA",69200
"10-06-2014","CO",7648
"10-06-2014","CT",5996
"10-06-2014","DE",1373
"10-06-2014","DC",5755
"10-06-2014","FL",39919
"10-06-2014","GA",17660
"10-06-2014","HI",NA
"10-06-2014","ID",1454
"10-06-2014","IL",19766
"10-06-2014","IN",8018
"10-06-2014","IA",3989
"10-06-2014","KS",3876
"10-06-2014","KY",5315
"10-06-2014","LA",6665
"10-06-2014","ME",2260
"10-06-2014","MD",10025
"10-06-2014","MA",11890
"10-06-2014","MI",12963
"10-06-2014","MN",7530
"10-06-2014","MS",2932
"10-06-2014","MO",7606
"10-06-2014","MT",652
"10-06-2014","NE",2534
"10-06-2014","NV",6600
"10-06-2014","NH",1819
"10-06-2014","NJ",18208
"10-06-2014","NM",2055
"10-06-2014","NY",42365
"10-06-2014","NC",14907
"10-06-2014","ND",986
"10-06-2014","OH",16309
"10-06-2014","OK",6656
"10-06-2014","OR",7672
"10-06-2014","PA",17234
"10-06-2014","RI",2104
"10-06-2014","SC",8607
"10-06-2014","SD",956
"10-06-2014","TN",9244
"10-06-2014","TX",48226
"10-06-2014","UT",3012
"10-06-2014","VT",910
"10-06-2014","VA",12679
"10-06-2014","WA",10042
"10-06-2014","WV",2301
"10-06-2014","WI",6844
"10-06-2014","WY",525
"10-06-2014","AS",NA
"10-06-2014","GU",NA
"10-06-2014","MP",NA
"10-06-2014","PR",NA
"10-06-2014","UM",NA
"10-06-2014","VI",NA
"11-06-2014","AL",6667
"11-06-2014","AK",2
"11-06-2014","AZ",10518
"11-06-2014","AR",3060
"11-06-2014","CA",79210
"11-06-2014","CO",8082
"11-06-2014","CT",5887
"11-06-2014","DE",1658
"11-06-2014","DC",6076
"11-06-2014","FL",43528
"11-06-2014","GA",18392
"11-06-2014","HI",NA
"11-06-2014","ID",1275
"11-06-2014","IL",21373
"11-06-2014","IN",8574
"11-06-2014","IA",4236
"11-06-2014","KS",3953
"11-06-2014","KY",6114
"11-06-2014","LA",6363
"11-06-2014","ME",1853
"11-06-2014","MD",9533
"11-06-2014","MA",12995
"11-06-2014","MI",14005
"11-06-2014","MN",8504
"11-06-2014","MS",2758
"11-06-2014","MO",7727
"11-06-2014","MT",746
"11-06-2014","NE",2785
"11-06-2014","NV",7225
"11-06-2014","NH",1805
"11-06-2014","NJ",18348
"11-06-2014","NM",2364
"11-06-2014","NY",47478
"11-06-2014","NC",16213
"11-06-2014","ND",1013
"11-06-2014","OH",17496
"11-06-2014","OK",6709
"11-06-2014","OR",7901
"11-06-2014","PA",18286
"11-06-2014","RI",1891
"11-06-2014","SC",8506
"11-06-2014","SD",815
"11-06-2014","TN",9198
"11-06-2014","TX",45888
"11-06-2014","UT",3165
"11-06-2014","VT",754
"11-06-2014","VA",12807
"11-06-2014","WA",10216
"11-06-2014","WV",2218
"11-06-2014","WI",7387
"11-06-2014","WY",511
"11-06-2014","AS",NA
"11-06-2014","GU",NA
"11-06-2014","MP",NA
"11-06-2014","PR",NA
"11-06-2014","UM",NA
"11-06-2014","VI",NA
"12-06-2014","AL",6521
"12-06-2014","AK",NA
"12-06-2014","AZ",8551
"12-06-2014","AR",3152
"12-06-2014","CA",79721
"12-06-2014","CO",7250
"12-06-2014","CT",6346
"12-06-2014","DE",1388
"12-06-2014","DC",6728
"12-06-2014","FL",42061
"12-06-2014","GA",16831
"12-06-2014","HI",NA
"12-06-2014","ID",1521
"12-06-2014","IL",21963
"12-06-2014","IN",7765
"12-06-2014","IA",4420
"12-06-2014","KS",4358
"12-06-2014","KY",5861
"12-06-2014","LA",6517
"12-06-2014","ME",1682
"12-06-2014","MD",10555
"12-06-2014","MA",14598
"12-06-2014","MI",14917
"12-06-2014","MN",9047
"12-06-2014","MS",2817
"12-06-2014","MO",8820
"12-06-2014","MT",601
"12-06-2014","NE",2699
"12-06-2014","NV",7014
"12-06-2014","NH",1917
"12-06-2014","NJ",19493
"12-06-2014","NM",2038
"12-06-2014","NY",48342
"12-06-2014","NC",15330
"12-06-2014","ND",1233
"12-06-2014","OH",17479
"12-06-2014","OK",6205
"12-06-2014","OR",8740
"12-06-2014","PA",18314
"12-06-2014","RI",2146
"12-06-2014","SC",9259
"12-06-2014","SD",887
"12-06-2014","TN",10628
"12-06-2014","TX",53833
"12-06-2014","UT",3480
"12-06-2014","VT",796
"12-06-2014","VA",13326
"12-06-2014","WA",10808
"12-06-2014","WV",2149
"12-06-2014","WI",7605
"12-06-2014","WY",507
"12-06-2014","AS",NA
"12-06-2014","GU",NA
"12-06-2014","MP",NA
"12-06-2014","PR",NA
"12-06-2014","UM",NA
"12-06-2014","VI",NA
"13-06-2014","AL",6095
"13-06-2014","AK",9
"13-06-2014","AZ",8202
"13-06-2014","AR",2748
"13-06-2014","CA",83189
"13-06-2014","CO",8288
"13-06-2014","CT",6364
"13-06-2014","DE",1432
"13-06-2014","DC",5632
"13-06-2014","FL",37804
"13-06-2014","GA",16274
"13-06-2014","HI",NA
"13-06-2014","ID",1401
"13-06-2014","IL",21045
"13-06-2014","IN",7466
"13-06-2014","IA",3984
"13-06-2014","KS",3988
"13-06-2014","KY",5108
"13-06-2014","LA",6056
"13-06-2014","ME",1662
"13-06-2014","MD",9539
"13-06-2014","MA",13258
"13-06-2014","MI",13502
"13-06-2014","MN",9262
"13-06-2014","MS",2149
"13-06-2014","MO",8600
"13-06-2014","MT",778
"13-06-2014","NE",2994
"13-06-2014","NV",7284
"13-06-2014","NH",1949
"13-06-2014","NJ",18029
"13-06-2014","NM",2031
"13-06-2014","NY",48136
"13-06-2014","NC",14278
"13-06-2014","ND",1190
"13-06-2014","OH",15258
"13-06-2014","OK",5574
"13-06-2014","OR",8035
"13-06-2014","PA",19252
