source|text|created_at|retweet_count|favorite_count|is_retweet|id_str
Twitter for iPhone|'Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years' ➡️… https://t.co/cVWXOa1MjY|03-31-2017 19:37:00|9595|44123|false|847895524632129536
Twitter Ads|It is an exciting time for our country!#WeeklyAddress #ConfirmGorsuch https://t.co/tP4bkvTOBq|03-31-2017 18:30:38|13694|58319|false|847878820220858369
Twitter for iPhone|#ConfirmGorsuch #SCOTUS https://t.co/WkqHYMcYa3|03-31-2017 17:45:10|10927|48064|false|847867380562894848
Twitter for iPhone|Great meeting with a wonderful woman today, former Secretary of State, Condoleezza Rice! #USA🇺🇸 https://t.co/ZuriIC3YwG|03-31-2017 17:28:44|10435|57145|false|847863243200753666
Twitter for iPhone|It was an honor to welcome the Prime Minister of Denmark, Lars Løkke Rasmussen {@larsloekke} to the @WhiteHouse yes… https://t.co/N1g0TiVnSp|03-31-2017 14:35:47|6903|40720|false|847819720418111488
Twitter for iPhone|Mike Flynn should ask for immunity in that this is a witch hunt (excuse for big election loss), by media &amp; Dems, of historic proportion!|03-31-2017 11:04:32|17963|74530|false|847766558520856578
Twitter for iPhone|Only by enlisting the full potential of women in our society will we be truly able to #MakeAmericaGreatAgain🇺🇸… https://t.co/cxhgYaxiek|03-31-2017 01:43:35|13485|59387|false|847625389908217856
Twitter for iPhone|...and job losses. American companies must be prepared to look at other alternatives.|03-30-2017 22:16:50|7587|42307|false|847573358912974849
Twitter for iPhone|The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits...|03-30-2017 22:16:17|12126|58102|false|847573220417044480
Twitter for iPhone|Where are @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador?#RepealANDReplace #Obamacare|03-30-2017 21:21:50|5895|30401|false|847559519085379584
Twitter for iPhone|If @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.|03-30-2017 21:20:44|7722|38242|false|847559239149158401
Twitter for iPhone|If @RepMarkMeadows, @Jim_Jordan and Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.|03-30-2017 21:18:57|348|1550|false|847558790358728705
Twitter for iPhone|Great op-ed from @RepKenBuck. Looks like some in the Freedom Caucus are helping me end #Obamacare. https://t.co/Y2vTnIBTBZ|03-30-2017 21:17:30|6645|31807|false|847558426557337600
Twitter for iPhone|The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? https://t.co/QIqLgvYLLi|03-30-2017 14:27:14|13280|54377|false|847455180912181249
Twitter for iPhone|The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, &amp; fast. We must fight them, &amp; Dems, in 2018!|03-30-2017 13:07:42|13845|60193|false|847435163143454723
Twitter for iPhone|Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.#ThankAVeteran… https://t.co/deOHapcV4J|03-30-2017 02:12:09|16788|73882|false|847270189171228672
Media Studio|.@FLOTUS Melania and I were honored to stop by the Women's Empowerment  Panel this afternoon at the @WhiteHouse.… https://t.co/phLPw8lgTu|03-29-2017 23:58:11|10386|54285|false|847236476815511552
Twitter for iPhone|Today's EO established a commission on combating drug addiction and the opioid crisis. Watch listening session➡️… https://t.co/ooF2ediqSt|03-29-2017 21:39:01|8686|40545|false|847201455165624320
Twitter for iPhone|If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media!|03-29-2017 12:21:02|20281|98068|false|847061031293779969
Twitter for iPhone|Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!|03-29-2017 12:01:52|15624|74900|false|847056211006631936
Twitter for iPhone|Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of  Uranium?|03-28-2017 22:41:09|25726|86933|false|846854703183020032
Twitter for iPhone|A NEW ERA IN AMERICAN ENERGY! #MadeInTheUSA🇺🇸Watch here: https://t.co/EG02Fdlkba https://t.co/XT12jqoIqj|03-28-2017 21:48:40|9616|45784|false|846841493952319489
Twitter for iPhone|It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence &amp; Attorney General Sessions. THANK YOU fo… https://t.co/VHzTB4c69h|03-28-2017 20:57:17|7082|39199|false|846828561491202048
Twitter for iPhone|The failing @NYTimes would do much better if they were honest! https://t.co/ATy8R3knS2|03-28-2017 15:26:23|13142|56580|false|846745288735887360
Twitter for iPhone|Watch @foxandfriends now on Podesta and Russia!|03-28-2017 11:16:44|9248|47086|false|846682464215076866
Twitter for iPhone|Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S.  JOBS! JOBS! JOBS!|03-28-2017 10:36:02|23340|109338|false|846672219073863681
